OBJECTID,Year,Reported Date,Occurred Date,Weekday,Offence Category,Sector,Division,Neighbourhood,Ward,Councillor,x,y
67,2022,9/28/2022 5:00:00 AM,9/28/2022 5:00:00 AM,Thursday,Murder 1st Dgree,25,Central,Vanier North,Ward 12 - Rideau-Vanier,Stéphanie Plante,369943.709000003,5033295.59099946
68,2022,10/5/2022 5:00:00 AM,10/5/2022 5:00:00 AM,Thursday,Murder 2nd Dgree,31,East,Orléans Queenswood Heights,Ward 1 - Orléans East-Cumberland,Matthew Luloff,383056.750100007,5037933.57999946
69,2022,10/5/2022 5:00:00 AM,10/5/2022 5:00:00 AM,Thursday,Murder 2nd Dgree,31,East,Orléans Queenswood Heights,Ward 1 - Orléans East-Cumberland,Matthew Luloff,383056.750100007,5037933.57999946
70,2022,10/31/2022 5:00:00 AM,10/31/2022 5:00:00 AM,Tuesday,Murder 1st Dgree,32,East,Cummings,Ward 11 - Beacon Hill-Cyrville,Tim Tierney,372412.720000004,5032504.57889946
71,2023,1/31/2023 5:00:00 AM,1/31/2023 5:00:00 AM,Wednesday,Murder 1st Dgree,35,East,Emerald Woods - Sawmill Creek,Ward 10 - Gloucester-Southgate,Jessica Bradley,371602.731000002,5023574.50989946
72,2023,2/7/2023 5:00:00 AM,2/7/2023 5:00:00 AM,Wednesday,Murder 1st Dgree,31,East,Orléans Avalon - Notting Gate - Fallingbrook - Gardenway South,Ward 19 - Orléans South-Navan,Catherine Kitts,384598.08260001,5033870.05149946
73,2023,2/14/2023 5:00:00 AM,2/14/2023 5:00:00 AM,Wednesday,Murder 1st Dgree,33,East,Elmvale - Eastway - Riverview - Riverview Park West,Ward 18 - Alta Vista,Marty Carr,371071.720000003,5030273.56189946
74,2023,2/21/2023 5:00:00 AM,2/21/2023 5:00:00 AM,Wednesday,Murder 1st Dgree,24,Central,Lowertown,Ward 12 - Rideau-Vanier,Stéphanie Plante,368389.704900003,5032597.58709946
75,2023,4/24/2023 5:00:00 AM,4/24/2023 5:00:00 AM,Tuesday,Murder 2nd Dgree,35,East,South Keys - Heron Gate - Greenboro West,Ward 10 - Gloucester-Southgate,Jessica Bradley,371617.729900002,5024577.51809946
76,2023,5/6/2023 5:00:00 AM,5/6/2023 5:00:00 AM,Sunday,Murder 2nd Dgree,33,East,Elmvale - Eastway - Riverview - Riverview Park West,Ward 18 - Alta Vista,Marty Carr,371326.435100005,5029883.36039946
