OBJECTID,ID,Year,Reported Date,Occurred Date,Weekday,Hate Crime Type,Hate Crime Motivation,Offence Category,Neighbourhood,Sector,Division,Census Tract,Ward,Councillor,Offence Type
1,1,2021,1/7/2021 5:00:00 AM,1/5/2021 5:00:00 AM,Tuesday,Race/Ethnicity,Black,Mischief To Property,Hunt Club Upper -Blossom Park - Timbermill,Sector 35,East,5050123.04,Ward 10 - Gloucester-Southgate,Jessica Bradley,Criminal
2,2,2021,1/14/2021 5:00:00 AM,1/14/2021 5:00:00 AM,Thursday,Religion,Jewish,Mischief To Property,Stittsville,Sector 13,West,5050151.10,Ward 6 - Stittsville,Glen Gower,Criminal
3,3,2021,1/20/2021 5:00:00 AM,1/20/2021 5:00:00 AM,Wednesday,Race/Ethnicity,Black,Mischief To Property,Centretown,Sector 23,Central,5050038.00,Ward 14 - Somerset,Ariel Troster,Criminal
4,4,2021,1/21/2021 5:00:00 AM,1/21/2021 5:00:00 AM,Thursday,Race/Ethnicity,Black,Assault With Weapon Or Cbh Lv2,Crestview - Meadowlands,Sector 17,West,5050133.00,Ward 8 - College,Laine Johnson,Criminal
5,5,2021,1/22/2021 5:00:00 AM,1/22/2021 5:00:00 AM,Friday,Race/Ethnicity,Multiple Races/Ethnicities,Mischief With Data,Manotick East,Sector 36,East,5050191.01,Ward 20 - Osgoode,Isabelle Skalski,Criminal
6,6,2021,1/25/2021 5:00:00 AM,1/24/2021 5:00:00 AM,Sunday,Sexual Orientation,LGBTQ2+,Mischief To Property,Orléans Avalon - Notting Gate - Fallingbrook - Gardenway South,Sector 31,East,5050170.12,Ward 1 - Orléans East-Cumberland,Matthew Luloff,Criminal
7,7,2021,1/25/2021 5:00:00 AM,1/25/2021 5:00:00 AM,Monday,Sexual Orientation,LGBTQ2+,Assault With Weapon Or Cbh Lv2,Centretown,Sector 23,Central,5050037.01,Ward 14 - Somerset,Ariel Troster,Criminal
8,8,2021,1/26/2021 5:00:00 AM,1/26/2021 5:00:00 AM,Tuesday,Religion,Other Religion,Intimidate Non-Just Particpant,Centretown,Sector 23,Central,5050048.00,Ward 14 - Somerset,Ariel Troster,Criminal
9,9,2021,1/27/2021 5:00:00 AM,1/27/2021 5:00:00 AM,Wednesday,Race/Ethnicity,"Arab(West Asian,Middle Eastern and North African origins)",Assault With Weapon Or Cbh Lv2,Russell - Edwards,Sector 37,East,5050126.08,Ward 22 - Riverside South-Findlay Creek,Steve Desroches,Criminal
10,10,2021,1/28/2021 5:00:00 AM,1/20/2021 5:00:00 AM,Wednesday,Sexual Orientation,Other sexual orientation,Wilful Promotion Of Hatred,Centretown,Sector 23,Central,5050037.02,Ward 14 - Somerset,Ariel Troster,Criminal
11,11,2021,2/1/2021 5:00:00 AM,2/1/2021 5:00:00 AM,Monday,Sexual Orientation,LGBTQ2+,Mischief To Property,Orléans Chapel Hill,Sector 31,East,5050125.04,Ward 2 - Orléans West-Innes,Laura Dudas,Criminal
12,12,2021,2/4/2021 5:00:00 AM,2/4/2021 5:00:00 AM,Thursday,Religion,Jewish,Mischief To Property,Glen Cairn - Kanata South Business Park,Sector 13,West,5050162.02,Ward 6 - Stittsville,Glen Gower,Criminal
13,13,2021,2/9/2021 5:00:00 AM,2/8/2021 5:00:00 AM,Monday,Religion,Jewish,Mischief To Property,Overbrook - McArthur,Sector 25,Central,5050012.00,Ward 13 - Rideau-Rockcliffe,Rawlson King,Criminal
14,14,2021,2/13/2021 5:00:00 AM,2/11/2021 5:00:00 AM,Thursday,Race/Ethnicity,Black,Threats Utter To Person,Orléans Queenswood Heights,Sector 31,East,5050170.05,Ward 1 - Orléans East-Cumberland,Matthew Luloff,Criminal
15,15,2021,2/20/2021 5:00:00 AM,2/20/2021 5:00:00 AM,Saturday,Race/Ethnicity,East and Southeast Asian,Assault Level 1,Centretown,Sector 23,Central,5050040.00,Ward 14 - Somerset,Ariel Troster,Criminal
16,16,2021,2/23/2021 5:00:00 AM,2/23/2021 5:00:00 AM,Tuesday,Race/Ethnicity,Black,Mischief To Property,Glebe - Dows Lake,Sector 22,Central,5050019.00,Ward 17 - Capital,Shawn Menard,Criminal
17,17,2021,2/23/2021 5:00:00 AM,2/23/2021 5:00:00 AM,Tuesday,Race/Ethnicity,Black,Assault With Weapon Or Cbh Lv2,Ledbury - Heron Gate - Ridgemont - Elmwood,Sector 34,East,5050007.02,Ward 18 - Alta Vista,Marty Carr,Criminal
18,18,2021,2/26/2021 5:00:00 AM,2/19/2021 5:00:00 AM,Friday,Religion,Jewish,Mischief To Property,Stittsville,Sector 13,West,5050151.05,Ward 6 - Stittsville,Glen Gower,Criminal
19,19,2021,2/28/2021 5:00:00 AM,2/28/2021 5:00:00 AM,Sunday,Race/Ethnicity,Unknown race/ethnicity,Threats Utter To Person,Carson Grove - Carson Meadows,Sector 32,East,5050062.01,Ward 13 - Rideau-Rockcliffe,Rawlson King,Non-Criminal
20,20,2021,3/5/2021 5:00:00 AM,3/5/2021 5:00:00 AM,Friday,Sexual Orientation,Other sexual orientation,Harass Crim Stalking,Britannia Village,Sector 14,West,5050030.00,Ward 7 - Bay,Theresa Kavanagh,Criminal
21,21,2021,3/7/2021 5:00:00 AM,3/7/2021 5:00:00 AM,Sunday,Religion,Jewish,Mischief To Property,Centretown,Sector 23,Central,5050042.00,Ward 14 - Somerset,Ariel Troster,Criminal
22,22,2021,3/10/2021 5:00:00 AM,3/10/2021 5:00:00 AM,Wednesday,Religion,Muslim (Islam),Indecent Acts,Bells Corners West,Sector 15,West,5050136.02,Ward 8 - College,Laine Johnson,Criminal
23,23,2021,3/14/2021 5:00:00 AM,3/14/2021 5:00:00 AM,Sunday,Gender,Woman,Mischief To Property,Stittsville,Sector 13,West,5050151.06,Ward 6 - Stittsville,Glen Gower,Criminal
24,24,2021,3/14/2021 5:00:00 AM,3/14/2021 5:00:00 AM,Sunday,Religion,Catholic,Mischief To Property,Katimavik - Hazeldean,Sector 13,West,5050160.04,Ward 23 - Kanata South,Allan Hubley,Criminal
25,25,2021,3/16/2021 5:00:00 AM,3/8/2021 5:00:00 AM,Monday,Race/Ethnicity,East and Southeast Asian,Threats Utter To Person,Orléans Avalon - Notting Gate - Fallingbrook - Gardenway South,Sector 31,East,5050171.15,Ward 19 - Orléans South-Navan,Catherine Kitts,Criminal
26,26,2021,3/18/2021 5:00:00 AM,3/18/2021 5:00:00 AM,Thursday,Gender,Woman,Suspicious Circumstance(S),Glebe - Dows Lake,Sector 22,Central,5050018.00,Ward 17 - Capital,Shawn Menard,Non-Criminal
27,27,2021,3/21/2021 5:00:00 AM,3/21/2021 5:00:00 AM,Sunday,Sexual Orientation,LGBTQ2+,Mischief To Property,Carlingwood West - Glabar Park - McKellar Heights,Sector 14,West,5050031.00,Ward 7 - Bay,Theresa Kavanagh,Criminal
28,28,2021,3/22/2021 5:00:00 AM,3/22/2021 5:00:00 AM,Monday,Race/Ethnicity,Black,Harass Crim Stalking,Emerald Woods - Sawmill Creek,Sector 35,East,5050123.01,Ward 10 - Gloucester-Southgate,Jessica Bradley,Criminal
29,29,2021,3/22/2021 5:00:00 AM,3/22/2021 5:00:00 AM,Monday,Race/Ethnicity,Multiple Races/Ethnicities,Mischief To Property,Iris,Sector 15,West,5050027.00,Ward 8 - College,Laine Johnson,Criminal
30,30,2021,3/22/2021 5:00:00 AM,3/22/2021 5:00:00 AM,Monday,Race/Ethnicity,"Arab(West Asian,Middle Eastern and North African origins)",Assault Level 1,Lowertown,Sector 24,Central,5050053.00,Ward 12 - Rideau-Vanier,Stéphanie Plante,Criminal
31,31,2021,3/25/2021 5:00:00 AM,3/25/2021 5:00:00 AM,Thursday,Race/Ethnicity,Black,Information (General),Cityview - Skyline - Fisher Heights,Sector 17,West,5050132.00,Ward 9 - Knoxdale-Merivale,Sean Devine,Non-Criminal
32,32,2021,3/25/2021 5:00:00 AM,3/25/2021 5:00:00 AM,Thursday,Religion,Jewish,Mischief To Property,Lindenlea - New Edinburgh,Sector 25,Central,5050101.00,Ward 12 - Rideau-Vanier,Stéphanie Plante,Criminal
33,33,2021,3/25/2021 5:00:00 AM,3/25/2021 5:00:00 AM,Thursday,Race/Ethnicity,Other race/ethnicity,Indecent Acts,Emerald Woods - Sawmill Creek,Sector 35,East,5050123.01,Ward 10 - Gloucester-Southgate,Jessica Bradley,Criminal
34,34,2021,3/28/2021 5:00:00 AM,3/28/2021 5:00:00 AM,Sunday,Race/Ethnicity,Multiple Races/Ethnicities,"Disturbance Causing,Loiter Etc",West Centertown,Sector 22,Central,5050042.00,Ward 14 - Somerset,Ariel Troster,Criminal
35,35,2021,4/2/2021 5:00:00 AM,4/2/2021 5:00:00 AM,Friday,Race/Ethnicity,Black,Weapon Possess Dangerous,Centretown,Sector 23,Central,5050048.00,Ward 14 - Somerset,Ariel Troster,Criminal
36,36,2021,4/3/2021 5:00:00 AM,4/3/2021 5:00:00 AM,Saturday,Race/Ethnicity,"Arab(West Asian,Middle Eastern and North African origins)",Assault With Weapon Or Cbh Lv2,Cityview - Skyline - Fisher Heights,Sector 17,West,5050132.00,Ward 9 - Knoxdale-Merivale,Sean Devine,Criminal
37,37,2021,4/3/2021 5:00:00 AM,4/3/2021 5:00:00 AM,Saturday,Race/Ethnicity,Black,Threats Utter To Person,Centretown,Sector 23,Central,5050039.00,Ward 14 - Somerset,Ariel Troster,Criminal
38,38,2021,4/4/2021 5:00:00 AM,4/4/2021 5:00:00 AM,Sunday,Religion,Catholic,Mischief Hate Cultrl/Rel Prop,Katimavik - Hazeldean,Sector 13,West,5050160.04,Ward 23 - Kanata South,Allan Hubley,Criminal
39,39,2021,4/5/2021 5:00:00 AM,4/5/2021 5:00:00 AM,Monday,Sexual Orientation,LGBTQ2+,Mischief To Property,Playfair Park - Lynda Park - Guildwood Estates,Sector 34,East,5050007.03,Ward 18 - Alta Vista,Marty Carr,Criminal
40,40,2021,4/10/2021 5:00:00 AM,4/10/2021 5:00:00 AM,Saturday,Race/Ethnicity,Black,Mischief To Property,Stittsville,Sector 13,West,5050151.04,Ward 6 - Stittsville,Glen Gower,Criminal
41,41,2021,4/10/2021 5:00:00 AM,4/10/2021 5:00:00 AM,Saturday,Race/Ethnicity,South Asian,Mischief To Property,West Centertown,Sector 22,Central,5050041.00,Ward 14 - Somerset,Ariel Troster,Criminal
42,42,2021,4/11/2021 5:00:00 AM,4/11/2021 5:00:00 AM,Sunday,Race/Ethnicity,Black,Mischief To Property,Orléans Chapel Hill South,Sector 31,East,5050125.10,Ward 19 - Orléans South-Navan,Catherine Kitts,Criminal
43,43,2021,4/13/2021 5:00:00 AM,4/13/2021 5:00:00 AM,Tuesday,Religion,Other Religion,Mischief Hate Cultrl/Rel Prop,Richmond,Sector 12,West,5050151.09,Ward 21 - Rideau-Jock,David Brown,Criminal
44,44,2021,4/13/2021 5:00:00 AM,4/12/2021 5:00:00 AM,Monday,Race/Ethnicity,East and Southeast Asian,Suspicious Circumstance(S),Greenboro East,Sector 35,East,5050001.06,Ward 10 - Gloucester-Southgate,Jessica Bradley,Non-Criminal
45,45,2021,4/13/2021 5:00:00 AM,4/13/2021 5:00:00 AM,Tuesday,Religion,Muslim (Islam),Assault With Weapon Or Cbh Lv2,West Centertown,Sector 22,Central,5050035.00,Ward 14 - Somerset,Ariel Troster,Criminal
46,46,2021,4/16/2021 5:00:00 AM,4/16/2021 5:00:00 AM,Friday,Religion,Jewish,Mischief To Property,Greely,Sector 36,East,5050190.02,Ward 20 - Osgoode,Isabelle Skalski,Criminal
47,47,2021,4/16/2021 5:00:00 AM,4/13/2021 5:00:00 AM,Tuesday,Race/Ethnicity,East and Southeast Asian,Mischief To Property,Byward Market,Sector 24,Central,5050055.00,Ward 12 - Rideau-Vanier,Stéphanie Plante,Criminal
48,48,2021,4/16/2021 5:00:00 AM,4/16/2021 5:00:00 AM,Friday,Gender,Woman,Dispute Partner (No Charges),Dunrobin,Sector 11,West,5050160.09,Ward 5 - West Carleton-March,Clarke Kelly,Non-Criminal
49,49,2021,4/17/2021 5:00:00 AM,4/17/2021 5:00:00 AM,Saturday,Race/Ethnicity,Black,Assault Peace Officer Wpn-Cbh,Byward Market,Sector 24,Central,5050054.00,Ward 12 - Rideau-Vanier,Stéphanie Plante,Criminal
50,50,2021,4/17/2021 5:00:00 AM,4/17/2021 5:00:00 AM,Saturday,Race/Ethnicity,"Arab(West Asian,Middle Eastern and North African origins)",Dispute-Disturbance,Qualicum - Redwood Park,Sector 15,West,5050027.00,Ward 8 - College,Laine Johnson,Non-Criminal
51,51,2021,4/19/2021 5:00:00 AM,4/19/2021 5:00:00 AM,Monday,Religion,Jewish,Mischief To Property,Stittsville,Sector 13,West,5050151.06,Ward 6 - Stittsville,Glen Gower,Criminal
52,52,2021,4/26/2021 5:00:00 AM,4/24/2021 5:00:00 AM,Saturday,Religion,Catholic,Mischief Cultural Property,Richmond,Sector 12,West,5050151.03,Ward 21 - Rideau-Jock,David Brown,Criminal
53,53,2021,4/29/2021 5:00:00 AM,4/27/2021 5:00:00 AM,Tuesday,Religion,Catholic,Theft <$5000,Centretown,Sector 23,Central,5050048.00,Ward 14 - Somerset,Ariel Troster,Criminal
54,54,2021,5/3/2021 5:00:00 AM,4/30/2021 5:00:00 AM,Friday,Race/Ethnicity,Black,Mischief To Property,Riverside South - Leitrim,Sector 35,East,5050126.06,Ward 22 - Riverside South-Findlay Creek,Steve Desroches,Criminal
55,55,2021,5/4/2021 5:00:00 AM,5/4/2021 5:00:00 AM,Tuesday,Race/Ethnicity,East and Southeast Asian,Mischief To Property,Civic Hospital-Central Park,Sector 21,Central,5050034.00,Ward 15 - Kitchissippi,Jeff Leiper,Criminal
56,56,2021,5/4/2021 5:00:00 AM,5/4/2021 5:00:00 AM,Tuesday,Religion,Jewish,Suspicious Calls,Carlingwood West - Glabar Park - McKellar Heights,Sector 14,West,5050025.00,Ward 7 - Bay,Theresa Kavanagh,Non-Criminal
57,57,2021,5/8/2021 5:00:00 AM,5/8/2021 5:00:00 AM,Saturday,Race/Ethnicity,"Arab(West Asian,Middle Eastern and North African origins)",B&E Non-Res.Prop/Commercial,Riverside South - Leitrim,Sector 35,East,5050126.07,Ward 22 - Riverside South-Findlay Creek,Steve Desroches,Criminal
58,58,2021,5/10/2021 5:00:00 AM,5/10/2021 5:00:00 AM,Monday,Religion,Jewish,Mischief To Property,Playfair Park - Lynda Park - Guildwood Estates,Sector 34,East,5050007.03,Ward 18 - Alta Vista,Marty Carr,Criminal
59,59,2021,5/12/2021 5:00:00 AM,5/6/2021 5:00:00 AM,Thursday,Race/Ethnicity,Multiple Races/Ethnicities,Wilful Promotion Of Hatred,New Barrhaven - New Development - Stonebridge,Sector 16,West,5050141.20,Ward 3 - Barrhaven West,David Hill,Criminal
60,60,2021,5/14/2021 5:00:00 AM,5/14/2021 5:00:00 AM,Friday,Race/Ethnicity,South Asian,Mischief To Property,Billings Bridge - Alta Vista,Sector 34,East,5050004.00,Ward 17 - Capital,Shawn Menard,Criminal
61,61,2021,5/15/2021 5:00:00 AM,5/15/2021 5:00:00 AM,Saturday,Religion,Muslim (Islam),Assault Aggravated Lvl 3,Britannia Village,Sector 14,West,5050030.00,Ward 7 - Bay,Theresa Kavanagh,Criminal
62,62,2021,5/15/2021 5:00:00 AM,5/12/2021 5:00:00 AM,Wednesday,Race/Ethnicity,South Asian,Threats Utter To Person,Braemar Park - Bel Air Heights - Copeland Park,Sector 17,West,5050023.01,Ward 8 - College,Laine Johnson,Criminal
63,63,2021,5/15/2021 5:00:00 AM,5/15/2021 5:00:00 AM,Saturday,Religion,Muslim (Islam),Public Incitement Of Hatred,Byward Market,Sector 24,Central,5050054.00,Ward 12 - Rideau-Vanier,Stéphanie Plante,Criminal
64,64,2021,5/16/2021 5:00:00 AM,5/15/2021 5:00:00 AM,Saturday,Race/Ethnicity,"Arab(West Asian,Middle Eastern and North African origins)",Information (General),Centretown,Sector 23,Central,5050048.00,Ward 14 - Somerset,Ariel Troster,Non-Criminal
65,65,2021,5/17/2021 5:00:00 AM,5/17/2021 5:00:00 AM,Monday,Race/Ethnicity,Black,"Disturbance Causing,Loiter Etc",Cummings,Sector 32,East,5050012.00,Ward 11 - Beacon Hill-Cyrville,Tim Tierney,Criminal
66,66,2021,5/20/2021 5:00:00 AM,5/13/2021 5:00:00 AM,Thursday,Race/Ethnicity,East and Southeast Asian,Threats Utter To Person,Westboro,Sector 21,Central,5050045.02,Ward 15 - Kitchissippi,Jeff Leiper,Criminal
67,67,2021,5/20/2021 5:00:00 AM,5/20/2021 5:00:00 AM,Thursday,Sexual Orientation,Unknown sexual orientation,Threats Utter To Person,Riverside South - Leitrim,Sector 35,East,5050126.09,Ward 22 - Riverside South-Findlay Creek,Steve Desroches,Criminal
68,68,2021,5/23/2021 5:00:00 AM,5/23/2021 5:00:00 AM,Sunday,Sexual Orientation,LGBTQ2+,Assault Level 1,Byward Market,Sector 24,Central,5050054.00,Ward 12 - Rideau-Vanier,Stéphanie Plante,Criminal
69,69,2021,5/25/2021 5:00:00 AM,5/25/2021 5:00:00 AM,Tuesday,Race/Ethnicity,Black,Harass Crim Stalking,Centretown,Sector 23,Central,5050037.02,Ward 14 - Somerset,Ariel Troster,Criminal
70,70,2021,5/27/2021 5:00:00 AM,5/27/2021 5:00:00 AM,Thursday,Religion,Muslim (Islam),Assault Level 1,Byward Market,Sector 24,Central,5050054.00,Ward 12 - Rideau-Vanier,Stéphanie Plante,Criminal
71,71,2021,5/27/2021 5:00:00 AM,5/26/2021 5:00:00 AM,Wednesday,Race/Ethnicity,Indigenous/Aboriginal,Threats Utter To Person,Overbrook - McArthur,Sector 25,Central,5050012.00,Ward 13 - Rideau-Rockcliffe,Rawlson King,Criminal
72,72,2021,5/27/2021 5:00:00 AM,5/27/2021 5:00:00 AM,Thursday,Race/Ethnicity,Black,Mischief To Property,Emerald Woods - Sawmill Creek,Sector 35,East,5050123.01,Ward 10 - Gloucester-Southgate,Jessica Bradley,Criminal
73,73,2021,5/31/2021 5:00:00 AM,5/31/2021 5:00:00 AM,Monday,Religion,Jewish,Mischief To Property,Lowertown,Sector 24,Central,5050053.00,Ward 12 - Rideau-Vanier,Stéphanie Plante,Criminal
74,74,2021,5/31/2021 5:00:00 AM,5/30/2021 5:00:00 AM,Sunday,Gender,Other sex,Assault With Weapon Or Cbh Lv2,Bayshore,Sector 14,West,5050138.00,Ward 7 - Bay,Theresa Kavanagh,Criminal
75,75,2021,6/1/2021 5:00:00 AM,5/16/2021 5:00:00 AM,Sunday,Religion,Other Religion,Mischief Hate Cultrl/Rel Prop,Cummings,Sector 32,East,5050122.01,Ward 11 - Beacon Hill-Cyrville,Tim Tierney,Criminal
76,76,2021,6/1/2021 5:00:00 AM,6/1/2021 5:00:00 AM,Tuesday,Religion,Muslim (Islam),Mischief To Property,Hawthorne Meadows - Sheffield Glen,Sector 33,East,5050010.00,Ward 18 - Alta Vista,Marty Carr,Criminal
77,77,2021,6/4/2021 5:00:00 AM,6/4/2021 5:00:00 AM,Friday,Race/Ethnicity,East and Southeast Asian,Mischief To Property,Riverside Park,Sector 34,East,5050003.00,Ward 16 - River,Riley Brockington,Criminal
78,78,2021,6/6/2021 5:00:00 AM,6/6/2021 5:00:00 AM,Sunday,Sexual Orientation,LGBTQ2+,Mischief To Property,Kanata Lakes - Marchwood Lakeside - Morgan's Grant - Kanata North Business Park,Sector 13,West,5050160.07,Ward 4 - Kanata North,Cathy Curry,Criminal
79,79,2021,6/7/2021 5:00:00 AM,6/4/2021 5:00:00 AM,Friday,Sexual Orientation,LGBTQ2+,Mischief To Property,Stittsville,Sector 13,West,5050151.04,Ward 6 - Stittsville,Glen Gower,Criminal
80,80,2021,6/7/2021 5:00:00 AM,6/7/2021 5:00:00 AM,Monday,Religion,Jewish,Mischief To Property,Lowertown,Sector 24,Central,5050051.00,Ward 12 - Rideau-Vanier,Stéphanie Plante,Criminal
81,81,2021,6/9/2021 5:00:00 AM,6/5/2021 5:00:00 AM,Saturday,Race/Ethnicity,East and Southeast Asian,Suspicious Person(S),Civic Hospital-Central Park,Sector 21,Central,5050023.02,Ward 16 - River,Riley Brockington,Non-Criminal
82,82,2021,6/9/2021 5:00:00 AM,6/8/2021 5:00:00 AM,Tuesday,Race/Ethnicity,East and Southeast Asian,Mischief To Property,Ledbury - Heron Gate - Ridgemont - Elmwood,Sector 34,East,5050001.09,Ward 10 - Gloucester-Southgate,Jessica Bradley,Criminal
83,83,2021,6/9/2021 5:00:00 AM,6/9/2021 5:00:00 AM,Wednesday,Race/Ethnicity,"Arab(West Asian,Middle Eastern and North African origins)",Mischief To Property,Centretown,Sector 23,Central,5050048.00,Ward 14 - Somerset,Ariel Troster,Criminal
84,84,2021,6/10/2021 5:00:00 AM,6/10/2021 5:00:00 AM,Thursday,Race/Ethnicity,Black,Dispute-Disturbance,Briar Green - Leslie Park,Sector 15,West,5050137.04,Ward 8 - College,Laine Johnson,Non-Criminal
85,85,2021,6/10/2021 5:00:00 AM,6/10/2021 5:00:00 AM,Thursday,Gender,Woman,Dispute-Disturbance,Overbrook - McArthur,Sector 25,Central,5050013.00,Ward 13 - Rideau-Rockcliffe,Rawlson King,Non-Criminal
86,86,2021,6/11/2021 5:00:00 AM,6/11/2021 5:00:00 AM,Friday,Race/Ethnicity,Multiple Races/Ethnicities,Mischief To Property,Westboro,Sector 21,Central,5050033.02,Ward 15 - Kitchissippi,Jeff Leiper,Criminal
87,87,2021,6/12/2021 5:00:00 AM,6/12/2021 5:00:00 AM,Saturday,Religion,Jewish,Traffic Complaint - Person,Hunt Club East - Western Community,Sector 35,East,5050002.05,Ward 10 - Gloucester-Southgate,Jessica Bradley,Non-Criminal
88,88,2021,6/12/2021 5:00:00 AM,6/12/2021 5:00:00 AM,Saturday,Race/Ethnicity,Black,Mischief To Property,Navan - Carlsbad Springs,Sector 37,East,5050171.03,Ward 19 - Orléans South-Navan,Catherine Kitts,Criminal
89,89,2021,6/13/2021 5:00:00 AM,6/13/2021 5:00:00 AM,Sunday,Religion,Catholic,Mischief To Property,Byward Market,Sector 24,Central,5050054.00,Ward 12 - Rideau-Vanier,Stéphanie Plante,Criminal
90,90,2021,6/14/2021 5:00:00 AM,6/14/2021 5:00:00 AM,Monday,Race/Ethnicity,Multiple Races/Ethnicities,Mischief To Property,East Industrial,Sector 33,East,5050011.03,Ward 18 - Alta Vista,Marty Carr,Criminal
91,91,2021,6/14/2021 5:00:00 AM,6/14/2021 5:00:00 AM,Monday,Sexual Orientation,LGBTQ2+,Mischief To Property,Glen Cairn - Kanata South Business Park,Sector 13,West,5050162.02,Ward 23 - Kanata South,Allan Hubley,Criminal
92,92,2021,6/14/2021 5:00:00 AM,6/14/2021 5:00:00 AM,Monday,Religion,Jewish,Mischief To Property,Centretown,Sector 23,Central,5050048.00,Ward 14 - Somerset,Ariel Troster,Criminal
93,93,2021,6/14/2021 5:00:00 AM,6/14/2021 5:00:00 AM,Monday,Race/Ethnicity,Black,Mischief To Property,Glen Cairn - Kanata South Business Park,Sector 13,West,5050162.03,Ward 23 - Kanata South,Allan Hubley,Criminal
94,94,2021,6/17/2021 5:00:00 AM,6/17/2021 5:00:00 AM,Thursday,Sexual Orientation,LGBTQ2+,Mischief To Property,Centretown,Sector 23,Central,5050048.00,Ward 14 - Somerset,Ariel Troster,Criminal
95,95,2021,6/17/2021 5:00:00 AM,6/17/2021 5:00:00 AM,Thursday,Race/Ethnicity,Multiple Races/Ethnicities,Mischief To Property,Orléans Avalon - Notting Gate - Fallingbrook - Gardenway South,Sector 31,East,5050171.05,Ward 1 - Orléans East-Cumberland,Matthew Luloff,Criminal
96,96,2021,6/18/2021 5:00:00 AM,6/18/2021 5:00:00 AM,Friday,Religion,Jewish,Mischief To Property,Rockcliffe - Manor Park,Sector 25,Central,5050110.00,Ward 13 - Rideau-Rockcliffe,Rawlson King,Criminal
97,97,2021,6/19/2021 5:00:00 AM,6/19/2021 5:00:00 AM,Saturday,Race/Ethnicity,South Asian,Assault Level 1,Byward Market,Sector 24,Central,5050054.00,Ward 12 - Rideau-Vanier,Stéphanie Plante,Criminal
98,98,2021,6/19/2021 5:00:00 AM,6/19/2021 5:00:00 AM,Saturday,Race/Ethnicity,Black,Harass Communications,Centretown,Sector 23,Central,5050048.00,Ward 14 - Somerset,Ariel Troster,Criminal
99,99,2021,6/22/2021 5:00:00 AM,5/2/2021 5:00:00 AM,Sunday,Religion,Catholic,Mischief Hate Cultrl/Rel Prop,Centretown,Sector 23,Central,5050039.00,Ward 14 - Somerset,Ariel Troster,Criminal
100,100,2021,6/22/2021 5:00:00 AM,6/17/2021 5:00:00 AM,Thursday,Religion,Catholic,Mischief Hate Cultrl/Rel Prop,Centretown,Sector 23,Central,5050039.00,Ward 14 - Somerset,Ariel Troster,Criminal
101,101,2021,6/22/2021 5:00:00 AM,6/22/2021 5:00:00 AM,Tuesday,Religion,Catholic,Mischief Hate Cultrl/Rel Prop,Centretown,Sector 23,Central,5050039.00,Ward 14 - Somerset,Ariel Troster,Criminal
102,102,2021,6/22/2021 5:00:00 AM,4/27/2021 5:00:00 AM,Tuesday,Religion,Catholic,Mischief Hate Cultrl/Rel Prop,Centretown,Sector 23,Central,5050039.00,Ward 14 - Somerset,Ariel Troster,Criminal
103,103,2021,6/23/2021 5:00:00 AM,6/23/2021 5:00:00 AM,Wednesday,Religion,Jewish,Mischief To Property,Hintonburg - Mechanicsville,Sector 21,Central,5050046.00,Ward 15 - Kitchissippi,Jeff Leiper,Criminal
104,104,2021,6/23/2021 5:00:00 AM,6/23/2021 5:00:00 AM,Wednesday,Race/Ethnicity,Black,Assault With Weapon Or Cbh Lv2,Crestview - Meadowlands,Sector 17,West,5050133.00,Ward 8 - College,Laine Johnson,Criminal
105,105,2021,6/24/2021 5:00:00 AM,6/24/2021 5:00:00 AM,Thursday,Sexual Orientation,LGBTQ2+,Mischief To Property,Civic Hospital-Central Park,Sector 21,Central,5050020.01,Ward 15 - Kitchissippi,Jeff Leiper,Criminal
106,106,2021,6/24/2021 5:00:00 AM,6/23/2021 5:00:00 AM,Wednesday,Religion,Jewish,Mischief To Property,Hintonburg - Mechanicsville,Sector 21,Central,5050045.01,Ward 15 - Kitchissippi,Jeff Leiper,Criminal
107,107,2021,6/25/2021 5:00:00 AM,6/25/2021 5:00:00 AM,Friday,Religion,Muslim (Islam),Mischief To Property,Hintonburg - Mechanicsville,Sector 21,Central,5050046.00,Ward 15 - Kitchissippi,Jeff Leiper,Criminal
108,108,2021,6/26/2021 5:00:00 AM,6/26/2021 5:00:00 AM,Saturday,Race/Ethnicity,Black,Mischief To Property,Overbrook - McArthur,Sector 25,Central,5050101.00,Ward 12 - Rideau-Vanier,Stéphanie Plante,Criminal
109,109,2021,6/27/2021 5:00:00 AM,6/25/2021 5:00:00 AM,Friday,Religion,Catholic,Mischief Hate Cultrl/Rel Prop,Centretown,Sector 23,Central,5050040.00,Ward 14 - Somerset,Ariel Troster,Criminal
110,110,2021,6/27/2021 5:00:00 AM,6/27/2021 5:00:00 AM,Sunday,Religion,Jewish,Mischief To Property,Stittsville,Sector 13,West,5050151.04,Ward 6 - Stittsville,Glen Gower,Criminal
111,111,2021,6/28/2021 5:00:00 AM,6/28/2021 5:00:00 AM,Monday,Religion,Jewish,Mischief To Property,Greely,Sector 36,East,5050190.02,Ward 20 - Osgoode,Isabelle Skalski,Criminal
112,112,2021,6/29/2021 5:00:00 AM,6/28/2021 5:00:00 AM,Monday,Religion,Catholic,Threats To Property/Animal,Byward Market,Sector 24,Central,5050055.00,Ward 12 - Rideau-Vanier,Stéphanie Plante,Criminal
