OBJECTID,ID,Year,Reported Date,Occurred Date,Weekday,Hate Crime Type,Hate Crime Motivation,Offence Category,Neighbourhood,Sector,Division,Census Tract,Ward,Councillor,Offence Type
521,521,2022,12/12/2022 5:00:00 AM,12/12/2022 5:00:00 AM,Monday,Race/Ethnicity,Other race/ethnicity,Assault Level 1,Glebe - Dows Lake,Sector 22,Central,5050019.00,Ward 17 - Capital,Shawn Menard,Criminal
522,522,2022,12/12/2022 5:00:00 AM,12/12/2022 5:00:00 AM,Monday,Religion,Muslim (Islam),Assault Level 1,Vanier South,Sector 25,Central,5050102.00,Ward 12 - Rideau-Vanier,Stéphanie Plante,Criminal
523,523,2022,12/14/2022 5:00:00 AM,12/8/2022 5:00:00 AM,Thursday,Race/Ethnicity,"Arab(West Asian,Middle Eastern and North African origins)",Threats Utter To Person,Crestview - Meadowlands,Sector 17,West,5050134.00,Ward 8 - College,Laine Johnson,Criminal
524,524,2022,12/14/2022 5:00:00 AM,12/11/2022 5:00:00 AM,Sunday,Race/Ethnicity,Other race/ethnicity,Mischief To Property,Hintonburg - Mechanicsville,Sector 21,Central,5050046.00,Ward 15 - Kitchissippi,Jeff Leiper,Criminal
525,525,2022,12/16/2022 5:00:00 AM,12/15/2022 5:00:00 AM,Thursday,Sexual Orientation,Other sexual orientation,Threats Utter To Person,Blackburn Hamlet,Sector 31,East,5050125.02,Ward 2 - Orléans West-Innes,Laura Dudas,Criminal
526,526,2022,12/16/2022 5:00:00 AM,12/12/2022 5:00:00 AM,Monday,Race/Ethnicity,Other race/ethnicity,Threats Utter To Person,Billings Bridge - Alta Vista,Sector 34,East,5050004.00,Ward 17 - Capital,Shawn Menard,Criminal
527,527,2022,12/17/2022 5:00:00 AM,12/17/2022 5:00:00 AM,Saturday,Race/Ethnicity,Black,Threats Utter To Person,Overbrook - McArthur,Sector 25,Central,5050012.00,Ward 13 - Rideau-Rockcliffe,Rawlson King,Criminal
528,528,2022,12/17/2022 5:00:00 AM,12/16/2022 5:00:00 AM,Friday,Religion,Jewish,Harass Communications,Glebe - Dows Lake,Sector 22,Central,5050018.00,Ward 17 - Capital,Shawn Menard,Criminal
529,529,2022,12/17/2022 5:00:00 AM,12/17/2022 5:00:00 AM,Saturday,Race/Ethnicity,Other race/ethnicity,Fraud Obtain Food/Bev/Lodg,Centretown,Sector 23,Central,5050038.00,Ward 14 - Somerset,Ariel Troster,Criminal
530,530,2022,12/21/2022 5:00:00 AM,12/21/2022 5:00:00 AM,Wednesday,Race/Ethnicity,"India,Pakistan/South Asian",Dispute-Disturbance,Bayshore,Sector 14,West,5050029.00,Ward 7 - Bay,Theresa Kavanagh,Non-Criminal
531,531,2022,12/22/2022 5:00:00 AM,12/21/2022 5:00:00 AM,Wednesday,Religion,Jewish,Mischief To Property,Woodvale - Craig Henry - Manordale - Estates of Arlington Woods,Sector 15,West,5050135.01,Ward 9 - Knoxdale-Merivale,Sean Devine,Criminal
532,532,2022,12/23/2022 5:00:00 AM,12/23/2022 5:00:00 AM,Friday,Gender,Man,Assault Level 1,Centretown,Sector 23,Central,5050038.00,Ward 14 - Somerset,Ariel Troster,Criminal
533,533,2022,12/24/2022 5:00:00 AM,12/24/2022 5:00:00 AM,Saturday,Religion,Jewish,Threatening Communications,Glebe - Dows Lake,Sector 22,Central,5050018.00,Ward 17 - Capital,Shawn Menard,Criminal
534,534,2022,12/31/2022 5:00:00 AM,12/31/2022 5:00:00 AM,Saturday,Race/Ethnicity,Black,Threats Utter To Person,Vanier South,Sector 25,Central,5050100.00,Ward 12 - Rideau-Vanier,Stéphanie Plante,Criminal
535,535,2023,1/5/2023 5:00:00 AM,12/24/2022 5:00:00 AM,Saturday,Gender,Woman,Threats Utter To Person,Centretown,Sector 23,Central,5050038.00,Ward 14 - Somerset,Ariel Troster,Criminal
536,536,2023,1/8/2023 5:00:00 AM,1/8/2023 5:00:00 AM,Sunday,Religion,Muslim (Islam),Assault Level 1,Lowertown,Sector 24,Central,5050053.00,Ward 12 - Rideau-Vanier,Stéphanie Plante,Criminal
537,537,2023,1/8/2023 5:00:00 AM,1/8/2023 5:00:00 AM,Sunday,Religion,Jewish,Threats Utter To Person,Glebe - Dows Lake,Sector 22,Central,5050018.00,Ward 17 - Capital,Shawn Menard,Criminal
538,538,2023,1/10/2023 5:00:00 AM,1/10/2023 5:00:00 AM,Tuesday,Race/Ethnicity,Chinese,Assault Level 1,Glebe - Dows Lake,Sector 22,Central,5050018.00,Ward 17 - Capital,Shawn Menard,Criminal
539,539,2023,1/11/2023 5:00:00 AM,1/11/2023 5:00:00 AM,Wednesday,Religion,Jewish,Harass Communications,Glebe - Dows Lake,Sector 22,Central,5050018.00,Ward 17 - Capital,Shawn Menard,Criminal
540,540,2023,1/11/2023 5:00:00 AM,1/11/2023 5:00:00 AM,Wednesday,Religion,Jewish,Harass Communications,Glebe - Dows Lake,Sector 22,Central,5050018.00,Ward 17 - Capital,Shawn Menard,Criminal
541,541,2023,1/11/2023 5:00:00 AM,1/11/2023 5:00:00 AM,Wednesday,Religion,Jewish,Harass Communications,Glebe - Dows Lake,Sector 22,Central,5050018.00,Ward 17 - Capital,Shawn Menard,Criminal
542,542,2023,1/12/2023 5:00:00 AM,1/12/2023 5:00:00 AM,Thursday,Religion,Jewish,Wilful Promotion Of Hatred,Woodvale - Craig Henry - Manordale - Estates of Arlington Woods,Sector 15,West,5050135.01,Ward 9 - Knoxdale-Merivale,Sean Devine,Criminal
543,543,2023,1/12/2023 5:00:00 AM,1/12/2023 5:00:00 AM,Thursday,Religion,Jewish,Harass Communications,Glebe - Dows Lake,Sector 22,Central,5050018.00,Ward 17 - Capital,Shawn Menard,Criminal
544,544,2023,1/12/2023 5:00:00 AM,1/12/2023 5:00:00 AM,Thursday,Religion,Muslim (Islam),Cyber Bullying/Harassment,New Barrhaven - New Development - Stonebridge,Sector 16,West,5050141.26,Ward 3 - Barrhaven West,David Hill,Non-Criminal
545,545,2023,1/13/2023 5:00:00 AM,1/12/2023 5:00:00 AM,Thursday,Religion,Jewish,Threats Utter To Person,Woodvale - Craig Henry - Manordale - Estates of Arlington Woods,Sector 15,West,5050135.01,Ward 9 - Knoxdale-Merivale,Sean Devine,Criminal
546,546,2023,1/15/2023 5:00:00 AM,1/15/2023 5:00:00 AM,Sunday,Religion,Jewish,Harass Communications,Glebe - Dows Lake,Sector 22,Central,5050018.00,Ward 17 - Capital,Shawn Menard,Criminal
547,547,2023,1/16/2023 5:00:00 AM,1/15/2023 5:00:00 AM,Sunday,Religion,Jewish,Harass Communications,Glebe - Dows Lake,Sector 22,Central,5050018.00,Ward 17 - Capital,Shawn Menard,Criminal
