FID,namese2016,namesf2016,popest2016,Shape_Leng,Shape_Area,Shape__Area,Shape__Length
60,Kanata Lakes - Arcardia,Kanata Lakes - Arcardia,12576.4082159,19149.5929687,11991624.3627,24253944.1953125,27229.1508961755
61,Hunt Club Woods - Quintarra - Revelstoke,Hunt Club Woods - Quintarra - Revelstoke,5953.41468997,18944.2215836,5558430.02522,11253513.9375,26958.932048777
62,Bridlewood - Emerald Meadows,Bridlewood - Emerald Meadows,21101.0191199,12181.3559976,6519616.16194,13172382.3945313,17324.1306073794
63,Portobello South,Portobello South,16312.8766396,14813.8040461,12917119.3875,26245366.8984375,21113.0869034789
64,Chapel Hill South,Chapel Hill South,7297.80083477,13209.802843,9966794.70311,20240520.6445313,18824.4326454157
65,Blackburn Hamlet,Blackburn Hamlet,8171.80596205,9039.13949421,2946405.07095,5983472.234375,12877.6153665481
66,Rideau Crest - Davidson Heights,Rideau Crest - Davidson Heights,14565.646993,10552.296676,5091753.7095,10287158.2617188,15005.7598731827
67,Riverside South - Leitrim,Riverside South - Leitrim,10942.3128658,23160.7460734,25012884.9704,50520103.2890625,32923.084299877
68,Britannia Village,Britannia Village,6542.93285642,8043.95718574,3566221.81314,7226184.4140625,11452.400259379
69,Byward Market,Byward Market,5382.05611115,5699.9558923,1833893.33421,3724173.07421875,8124.94340264562
70,Old Ottawa South,Old Ottawa South,6634.69996337,5912.31749231,1584546.61532,3213145.95703125,8419.32426264134
71,Old Ottawa East,Old Ottawa East,6645.46838727,7260.84572031,1928185.87798,3912297.50390625,10345.5680369226
72,Carleton University,Carleton University,18.74042171,6639.02026716,1030663.24467,2089401.296875,9459.01292091835
73,Beechwood Cemetery,Beechwood Cemetery,138.9311281,3709.25109121,662491.635192,1346010.8515625,5282.16186492638
74,Lebreton Development,Lebreton Development,369.33088726,5655.97756495,1420003.91457,2881924.93359375,8055.98715937026
75,Notre-Dame Cemetery,Notre-Dame Cemetery,16.98853068,2468.14829616,204294.945818,414999.09765625,3518.0454640388
76,Orléans Industrial,Orléans Industrial,74.27158431,2904.93061647,528162.83338,1073712.03125,4141.21469081868
77,Hunt Club South Industrial,Hunt Club South Industrial,732.58553706,9074.97223198,4708194.98993,9529339.265625,12913.1428522036
78,Stittsville,Stittsville,26674.0291534,25572.7458391,29998144.2675,60576796.7226563,36338.024347959
79,Stonebridge - Halfmoon Bay - Heart's Desire,Stonebridge - Halfmoon Bay - Heart's Desire,9463.83982717,22446.967763,14564579.8516,29392423.5820313,31885.859624967
80,Richmond,Richmond,7668.88229091,61641.2351922,168839204.031,340281847.828125,87511.8242057489
81,Cumberland,Cumberland,4171.79745104,37896.6193863,60610627.0911,123363925.582031,54047.009694635
82,Fitzroy,Fitzroy,3299.06351854,74174.9574459,156012211.361,317062974.324219,105729.695927383
83,Constance Bay,Constance Bay,2371.16642646,18102.3774313,15282596.9884,31111807.9765625,25826.974595816
84,Fallingbrook,Fallingbrook,19414.9502566,10760.9560729,5705981.52848,11604867.1171875,15351.1704504153
85,Munster - Ashton,Munster - Ashton,3704.84243132,46750.3365918,137001353.258,275575705.152344,66324.9180065
86,Marlborough,Marlborough,1812.04499167,77748.1227891,249316749.113,499770098.171875,110101.291131381
87,Corkery,Corkery,3472.75476571,48719.0420824,140113149.504,282802982.136719,69211.8093737136
88,Cardinal Creek,Cardinal Creek,10535.2839243,15057.577315,10635187.3262,21639210.0625,21488.436937608
89,Kinburn,Kinburn,1987.29201991,59577.5457952,136481767.354,276805414.316406,84847.7064225888
90,North Gower - Kars,North Gower - Kars,5212.54004225,60151.8385943,148788669.514,299068399.214844,85285.5944254594
91,Manotick East,Manotick East,9040.21658994,33629.6390809,32302841.2315,65132428.5898438,47761.5514708373
92,Osgoode - Vernon,Osgoode - Vernon,5111.71775217,58163.8188302,137672105.255,276839568.746094,82499.6056687078
93,Riverview,Riverview,6297.08254067,5912.4048221,1804417.86027,3660548.48828125,8418.89281694324
94,Metcalfe,Metcalfe,5240.26536138,58195.3042987,140792860.143,283837501.449219,82669.4740664689
95,Edwards - Carlsbad Springs,Edwards - Carlsbad Springs,3461.37468322,70782.237947,167444371.056,338820914.199219,100661.393106919
96,Greely,Greely,8829.32159859,39798.7414572,69513509.9736,140252417.871094,56559.3822835696
97,Vars,Vars,2573.02882037,36479.895188,77902743.6208,157894170.378906,51932.8072911902
98,Greenbelt-Dunrobin,Greenbelt-Dunrobin,2073.39051751,19418.5614823,12132710.1883,24599489.875,27649.5715988828
99,Navan - Sarsfield,Navan - Sarsfield,4253.42156506,58658.391746,106490802.521,216249788.4375,83555.23137839
100,Dunrobin,Dunrobin,5569.05971818,56255.0426435,143497182.862,291355237.792969,80148.8323093175
101,Carp,Carp,6229.56877979,74683.0808017,179285784.507,362839436.976563,106220.120819963
102,Bayshore - Belltown,Bayshore - Belltown,9313.01655662,9460.03172459,3297510.18449,6678814.75390625,13469.7767524213
103,Huntclub Park,Huntclub Park,8566.24772878,5980.86742057,1813845.32031,3675607.69140625,8511.1280486452
104,Greenbelt - SouthEast,Greenbelt  - SouthEast,2073.39051751,59072.6154001,50317773.358,101739026.476563,83997.2644634684
105,Pineview,Pineview,6169.23878742,5822.92078216,1819195.80211,3692883.8984375,8294.4220469433
106,Brookside - Briarbrook - Morgan's Grant,Brookside - Briarbrook - Morgan's Grant,14940.0655486,14267.7509802,9443721.49051,19120856.0429688,20302.3086059047
107,Old Barrhaven East,Old Barrhaven East,22285.6287568,14217.2973329,6149774.03605,12421355.3007813,20208.8908490793
108,Findlay Creek,Findlay Creek,4418.85848835,19020.6859237,17607378.3103,35611359.2304688,27049.0761863869
109,Parkwood Hills - Stewart Farm,Parkwood Hills - Stewart Farm,5233.80762311,7003.02310035,513698.222799,1040437.93359375,9965.3592092703
110,Manor Park,Manor Park,7016.29692249,6550.60173388,1236894.42566,2513281.88671875,9337.09598698961
111,Chapman Mills,Chapman Mills,8211.93374716,9697.98322543,3708056.42708,7486925.07421875,13774.7292375699
112,Manotick West,Manotick West,9040.21658994,38776.8911035,28342129.2685,57125389.0742188,55061.994808157
113,Greenbelt - Mer Bleue,Greenbelt - Mer Bleue,2073.39051751,9.24731691755,0.619318904152,1.26171875,13.1933470700002
115,Greenbelt-Edwards,Greenbelt-Edwards,2073.39051751,54812.1080575,56915505.423,115512220.304688,78086.2658658206
116,Greenbelt-Findlay,Greenbelt-Findlay,2073.39051751,24082.8288099,22277312.2929,45117191.9023438,34262.2676974683
117,Greenbelt - Shirleys Bay,Greenbelt - Shirleys Bay,2073.39051751,25450.7523991,21631052.6785,43808615.6054688,36228.444042412
118,Greenbelt-Merivale,Greenbelt-Merivale,2073.39051751,7346.32764363,3444974.57494,6959192.12109375,10445.8946884065
119,Greenbelt - Rideau River East,Greenbelt- Rideau River East,2073.39051751,7357.6850575,2560124.71882,5175274.6875,10466.5522499721
