OBJECTID,ID,Reported Date,Reported Hour,Reported Year,Occurred Date,Occurred Hour,Occurred Year,Time of Day,Weekday,Day of Week,Neighbourhood,Sector,Division,Ward,Councillor,Census Tract,x,y
31,31,4/17/2018 5:00:00 AM,2200,2018,4/17/2018 5:00:00 AM,2200,2018,Evening,Tuesday,2,Ledbury - Heron Gate - Ridgemont - Elmwood,34,East,Ward 10 - Gloucester-Southgate,Jessica Bradley,5050001.09,371194.726000001,5026455.53209946
32,32,4/19/2018 5:00:00 AM,100,2018,4/19/2018 5:00:00 AM,0,2018,Night,Thursday,4,Ledbury - Heron Gate - Ridgemont - Elmwood,34,East,Ward 16 - River,Riley Brockington,5050001.10,370828.031800002,5025379.67699946
33,33,4/20/2018 5:00:00 AM,0,2018,4/19/2018 5:00:00 AM,2200,2018,Evening,Thursday,4,Ledbury - Heron Gate - Ridgemont - Elmwood,34,East,Ward 18 - Alta Vista,Marty Carr,5050007.02,371194.726000001,5026455.53209946
34,34,4/23/2018 5:00:00 AM,2000,2018,4/23/2018 5:00:00 AM,2000,2018,Evening,Monday,1,Crestview - Meadowlands,17,West,Ward 8 - College,Laine Johnson,5050133.00,364106.143000003,5024351.79099946
35,35,5/5/2018 5:00:00 AM,1700,2018,5/5/2018 5:00:00 AM,1700,2018,Afternoon,Saturday,6,Hawthorne Meadows - Sheffield Glen,33,East,Ward 18 - Alta Vista,Marty Carr,5050010.00,373685.948600004,5028888.48309946
36,36,5/5/2018 5:00:00 AM,300,2018,5/5/2018 5:00:00 AM,300,2018,Night,Saturday,6,Hawthorne Meadows - Sheffield Glen,33,East,Ward 18 - Alta Vista,Marty Carr,5050010.00,373800.548700003,5029100.07909946
37,37,5/8/2018 5:00:00 AM,2300,2018,5/8/2018 5:00:00 AM,2300,2018,Evening,Tuesday,2,Ledbury - Heron Gate - Ridgemont - Elmwood,34,East,Ward 18 - Alta Vista,Marty Carr,5050005.00,370428.055200004,5026497.03499946
38,38,5/22/2018 5:00:00 AM,100,2018,5/21/2018 5:00:00 AM,2300,2018,Evening,Monday,1,Ledbury - Heron Gate - Ridgemont - Elmwood,34,East,Ward 10 - Gloucester-Southgate,Jessica Bradley,5050001.09,371101.135100002,5026191.49509946
39,39,5/25/2018 5:00:00 AM,2200,2018,5/25/2018 5:00:00 AM,2200,2018,Evening,Friday,5,Whitehaven - Queensway Terrace North,14,West,Ward 7 - Bay,Theresa Kavanagh,5050029.00,359528.370300001,5024413.96429946
40,40,5/27/2018 5:00:00 AM,1900,2018,5/27/2018 5:00:00 AM,1900,2018,Evening,Sunday,7,Greenboro East,35,East,Ward 10 - Gloucester-Southgate,Jessica Bradley,5050001.06,372073.732100003,5024695.51809946
41,41,5/27/2018 5:00:00 AM,900,2018,5/27/2018 5:00:00 AM,900,2018,Morning,Sunday,7,Hunt Club South Industrial,17,West,Ward 9 - Knoxdale-Merivale,Sean Devine,5050130.01,366064.704100002,5022022.49699946
42,42,5/28/2018 5:00:00 AM,900,2018,5/24/2018 5:00:00 AM,1500,2018,Afternoon,Thursday,4,Ledbury - Heron Gate - Ridgemont - Elmwood,34,East,Ward 10 - Gloucester-Southgate,Jessica Bradley,5050001.09,371809.729000005,5026692.53289946
43,43,6/1/2018 5:00:00 AM,200,2018,5/31/2018 5:00:00 AM,200,2018,Night,Thursday,4,Orléans Village - Chateauneuf,31,East,Ward 2 - Orléans West-Innes,Laura Dudas,5050125.05,381315.744100008,5037215.58409946
44,44,6/9/2018 5:00:00 AM,2000,2018,6/9/2018 5:00:00 AM,2000,2018,Evening,Saturday,6,South Keys - Heron Gate - Greenboro West,35,East,Ward 10 - Gloucester-Southgate,Jessica Bradley,5050001.04,371608.731000004,5024096.51399946
45,45,6/18/2018 5:00:00 AM,1300,2018,6/15/2018 5:00:00 AM,1700,2018,Afternoon,Friday,5,Ledbury - Heron Gate - Ridgemont - Elmwood,34,East,Ward 10 - Gloucester-Southgate,Jessica Bradley,5050001.09,371436.552100003,5026494.75289946
46,46,6/20/2018 5:00:00 AM,2300,2018,6/20/2018 5:00:00 AM,2300,2018,Evening,Wednesday,3,Ledbury - Heron Gate - Ridgemont - Elmwood,34,East,Ward 16 - River,Riley Brockington,5050001.10,370828.031800002,5025379.67699946
47,47,6/21/2018 5:00:00 AM,2200,2018,6/21/2018 5:00:00 AM,2200,2018,Evening,Thursday,4,Hunt Club Park,33,East,Ward 10 - Gloucester-Southgate,Jessica Bradley,5050001.08,375271.744900006,5026437.52709946
48,48,6/27/2018 5:00:00 AM,2300,2018,6/27/2018 5:00:00 AM,2300,2018,Evening,Wednesday,3,Ledbury - Heron Gate - Ridgemont - Elmwood,34,East,Ward 10 - Gloucester-Southgate,Jessica Bradley,5050001.09,371101.135100002,5026191.49509946
49,49,7/2/2018 5:00:00 AM,200,2018,7/2/2018 5:00:00 AM,100,2018,Night,Monday,1,Hunt Club Park,33,East,Ward 10 - Gloucester-Southgate,Jessica Bradley,5050001.07,375084.499900005,5026264.87499946
50,50,7/3/2018 5:00:00 AM,2200,2018,7/3/2018 5:00:00 AM,2200,2018,Evening,Tuesday,2,Hunt Club Upper -Blossom Park - Timbermill,35,East,Ward 10 - Gloucester-Southgate,Jessica Bradley,5050123.04,372195.573100005,5024135.32799946
51,51,7/5/2018 5:00:00 AM,2300,2018,7/5/2018 5:00:00 AM,2300,2018,Evening,Thursday,4,Greenboro East,35,East,Ward 10 - Gloucester-Southgate,Jessica Bradley,5050001.06,372747.534000005,5025381.34299946
52,52,7/5/2018 5:00:00 AM,2100,2018,7/5/2018 5:00:00 AM,700,2018,Morning,Thursday,4,Hunt Club East - Western Community,35,East,Ward 16 - River,Riley Brockington,5050002.05,370029.696500003,5023278.55909946
53,53,7/7/2018 5:00:00 AM,2300,2018,7/7/2018 5:00:00 AM,2300,2018,Evening,Saturday,6,Greenboro East,35,East,Ward 10 - Gloucester-Southgate,Jessica Bradley,5050001.06,373300.747700004,5025082.85509946
54,54,7/11/2018 5:00:00 AM,0,2018,7/11/2018 5:00:00 AM,0,2018,Night,Wednesday,3,Vanier North,25,Central,Ward 12 - Rideau-Vanier,Stéphanie Plante,5050104.00,369301.647800004,5033687.53619946
55,55,8/4/2018 5:00:00 AM,900,2018,8/4/2018 5:00:00 AM,900,2018,Morning,Saturday,6,Ledbury - Heron Gate - Ridgemont - Elmwood,34,East,Ward 10 - Gloucester-Southgate,Jessica Bradley,5050001.09,371501.727900005,5026253.53009946
56,56,8/19/2018 5:00:00 AM,400,2018,8/19/2018 5:00:00 AM,400,2018,Night,Sunday,7,Carlington,21,Central,Ward 16 - River,Riley Brockington,5050022.00,364916.1569,5027526.15609946
57,57,8/22/2018 5:00:00 AM,400,2018,8/22/2018 5:00:00 AM,400,2018,Night,Wednesday,3,Hunt Club Park,33,East,Ward 10 - Gloucester-Southgate,Jessica Bradley,5050001.06,373563.007000003,5025875.16209946
58,58,8/26/2018 5:00:00 AM,0,2018,8/26/2018 5:00:00 AM,0,2018,Night,Sunday,7,Hunt Club Woods - Quintarra - Revelstoke,35,East,Ward 16 - River,Riley Brockington,5050002.06,368281.715100002,5022891.50489946
59,59,9/1/2018 5:00:00 AM,100,2018,9/1/2018 5:00:00 AM,100,2018,Night,Saturday,6,South Keys - Heron Gate - Greenboro West,35,East,Ward 10 - Gloucester-Southgate,Jessica Bradley,5050001.04,371608.731000004,5024096.51399946
60,60,9/21/2018 5:00:00 AM,1200,2018,9/21/2018 5:00:00 AM,1100,2018,Morning,Friday,5,Lowertown,24,Central,Ward 12 - Rideau-Vanier,Stéphanie Plante,5050053.00,368511.706000002,5032413.58489946
61,61,9/22/2018 5:00:00 AM,1900,2018,9/22/2018 5:00:00 AM,1900,2018,Evening,Saturday,6,South Keys - Heron Gate - Greenboro West,35,East,Ward 10 - Gloucester-Southgate,Jessica Bradley,5050001.04,371199.498400002,5024142.70239946
62,62,9/25/2018 5:00:00 AM,2100,2018,9/25/2018 5:00:00 AM,2100,2018,Evening,Tuesday,2,Hunt Club Park,33,East,Ward 10 - Gloucester-Southgate,Jessica Bradley,5050001.07,375045.401100003,5026242.21399946
63,63,10/6/2018 5:00:00 AM,1700,2018,10/6/2018 5:00:00 AM,1700,2018,Afternoon,Saturday,6,Carlington,21,Central,Ward 16 - River,Riley Brockington,5050022.00,364844.6981,5026809.53699946
64,64,10/16/2018 5:00:00 AM,1800,2018,10/16/2018 5:00:00 AM,1800,2018,Evening,Tuesday,2,Emerald Woods - Sawmill Creek,35,East,Ward 10 - Gloucester-Southgate,Jessica Bradley,5050123.01,371636.104300002,5023302.60429946
65,65,10/16/2018 5:00:00 AM,100,2018,10/16/2018 5:00:00 AM,0,2018,Night,Tuesday,2,Bayshore,14,West,Ward 7 - Bay,Theresa Kavanagh,5050138.00,359591.847900002,5023346.69399946
66,66,10/20/2018 5:00:00 AM,900,2018,10/20/2018 5:00:00 AM,100,2018,Night,Saturday,6,Barrhaven,16,West,Ward 3 - Barrhaven West,David Hill,5050140.05,363746.684899999,5015016.43399946
67,67,10/26/2018 5:00:00 AM,100,2018,10/26/2018 5:00:00 AM,100,2018,Night,Friday,5,Overbrook - McArthur,25,Central,Ward 12 - Rideau-Vanier,Stéphanie Plante,5050101.00,369717.200000004,5032956.36789946
68,68,10/29/2018 5:00:00 AM,300,2018,10/29/2018 5:00:00 AM,300,2018,Night,Monday,1,Hintonburg - Mechanicsville,21,Central,Ward 15 - Kitchissippi,Jeff Leiper,5050046.00,365138.452100002,5029890.54109946
69,69,10/29/2018 5:00:00 AM,900,2018,10/29/2018 5:00:00 AM,900,2018,Morning,Monday,1,Centretown,23,Central,Ward 14 - Somerset,Ariel Troster,5050040.00,367200.704100003,5030422.56789946
70,70,10/29/2018 5:00:00 AM,2300,2018,10/29/2018 5:00:00 AM,2300,2018,Evening,Monday,1,Britannia Village,14,West,Ward 7 - Bay,Theresa Kavanagh,5050029.00,359555.489000001,5024438.92409946
71,71,11/8/2018 5:00:00 AM,1800,2018,11/8/2018 5:00:00 AM,1800,2018,Evening,Thursday,4,Overbrook - McArthur,25,Central,Ward 13 - Rideau-Rockcliffe,Rawlson King,5050013.00,371129.715900003,5032044.57699946
72,72,11/13/2018 5:00:00 AM,1900,2018,11/13/2018 5:00:00 AM,1900,2018,Evening,Tuesday,2,Greenboro East,35,East,Ward 10 - Gloucester-Southgate,Jessica Bradley,5050001.05,372976.206000005,5025902.63889946
73,73,11/21/2018 5:00:00 AM,2200,2018,11/21/2018 5:00:00 AM,2200,2018,Evening,Wednesday,3,Billings Bridge - Alta Vista,34,East,Ward 17 - Capital,Shawn Menard,5050004.00,369015.965000001,5027429.15499946
74,74,11/23/2018 5:00:00 AM,1800,2018,11/23/2018 5:00:00 AM,1800,2018,Evening,Friday,5,South Keys - Heron Gate - Greenboro West,35,East,Ward 10 - Gloucester-Southgate,Jessica Bradley,5050001.04,370852.239900004,5024838.49869946
75,75,11/27/2018 5:00:00 AM,1500,2018,11/10/2018 5:00:00 AM,400,2018,Night,Saturday,6,Carson Grove - Carson Meadows,32,East,Ward 13 - Rideau-Rockcliffe,Rawlson King,5050062.01,373256.718900004,5034045.58989946
76,76,11/29/2018 5:00:00 AM,2200,2018,11/29/2018 5:00:00 AM,2200,2018,Evening,Thursday,4,Hunt Club Park,33,East,Ward 10 - Gloucester-Southgate,Jessica Bradley,5050001.07,374173.741100003,5025882.52489946
77,77,12/23/2018 5:00:00 AM,2200,2018,12/23/2018 5:00:00 AM,2200,2018,Evening,Sunday,7,Byward Market,24,Central,Ward 12 - Rideau-Vanier,Stéphanie Plante,5050054.00,368047.972100003,5032233.51999946
78,78,1/5/2019 5:00:00 AM,400,2019,1/5/2019 5:00:00 AM,400,2019,Night,Saturday,6,Whitehaven - Queensway Terrace North,14,West,Ward 7 - Bay,Theresa Kavanagh,5050028.00,360220.707700002,5023371.53939946
79,79,1/12/2019 5:00:00 AM,700,2019,1/12/2019 5:00:00 AM,700,2019,Morning,Saturday,6,Overbrook - McArthur,25,Central,Ward 13 - Rideau-Rockcliffe,Rawlson King,5050013.00,370735.715100003,5031998.57809946
80,80,1/14/2019 5:00:00 AM,2000,2019,1/14/2019 5:00:00 AM,2000,2019,Evening,Monday,1,Britannia Village,14,West,Ward 7 - Bay,Theresa Kavanagh,5050029.00,359555.489000001,5024438.92409946
81,81,1/15/2019 5:00:00 AM,2100,2019,1/3/2019 5:00:00 AM,2300,2019,Evening,Thursday,4,Riverside Park,34,East,Ward 16 - River,Riley Brockington,5050003.00,368601.715100003,5025810.52789946
82,82,1/16/2019 5:00:00 AM,1800,2019,1/16/2019 5:00:00 AM,1700,2019,Afternoon,Wednesday,3,Vanier North,25,Central,Ward 12 - Rideau-Vanier,Stéphanie Plante,5050101.00,370098.710100003,5033170.58899946
83,83,1/16/2019 5:00:00 AM,2000,2019,1/12/2019 5:00:00 AM,2300,2019,Evening,Saturday,6,Vanier North,25,Central,Ward 12 - Rideau-Vanier,Stéphanie Plante,5050101.00,370163.709000003,5033320.26109946
84,84,1/21/2019 5:00:00 AM,2000,2019,1/21/2019 5:00:00 AM,2000,2019,Evening,Monday,1,Pineview,32,East,Ward 11 - Beacon Hill-Cyrville,Tim Tierney,5050122.02,375078.734000006,5031346.56189946
85,85,1/22/2019 5:00:00 AM,2000,2019,1/22/2019 5:00:00 AM,2000,2019,Evening,Tuesday,2,Vanier North,25,Central,Ward 12 - Rideau-Vanier,Stéphanie Plante,5050103.00,370410.709000003,5033839.59509946
86,86,1/24/2019 5:00:00 AM,2300,2019,1/24/2019 5:00:00 AM,2300,2019,Evening,Thursday,4,Cityview - Skyline - Fisher Heights,17,West,Ward 9 - Knoxdale-Merivale,Sean Devine,5050132.00,365267.700000003,5024908.52109946
87,87,1/31/2019 5:00:00 AM,2000,2019,1/31/2019 5:00:00 AM,2000,2019,Evening,Thursday,4,Cummings,32,East,Ward 11 - Beacon Hill-Cyrville,Tim Tierney,5050122.03,373014.728500004,5032119.54829946
88,88,2/1/2019 5:00:00 AM,1700,2019,2/1/2019 5:00:00 AM,1700,2019,Afternoon,Friday,5,Lowertown,24,Central,Ward 12 - Rideau-Vanier,Stéphanie Plante,5050053.00,368374.511000002,5032329.97399946
89,89,2/2/2019 5:00:00 AM,100,2019,2/2/2019 5:00:00 AM,100,2019,Night,Saturday,6,Civic Hospital-Central Park,21,Central,Ward 15 - Kitchissippi,Jeff Leiper,5050034.00,365657.700000002,5028517.55209946
90,90,2/6/2019 5:00:00 AM,200,2019,2/6/2019 5:00:00 AM,200,2019,Night,Wednesday,3,Kanata Lakes - Marchwood Lakeside - Morgan's Grant - Kanata North Business Park,13,West,Ward 4 - Kanata North,Cathy Curry,5050160.11,350175.6181,5023443.01099946
91,91,2/12/2019 5:00:00 AM,900,2019,12/30/2018 5:00:00 AM,100,2018,Night,Sunday,7,Greenbelt - Shirleys Bay,14,West,Ward 7 - Bay,Theresa Kavanagh,5050141.14,356001.651000001,5023937.50899946
92,92,2/20/2019 5:00:00 AM,200,2019,2/20/2019 5:00:00 AM,200,2019,Night,Wednesday,3,Elmvale - Eastway - Riverview - Riverview Park West,33,East,Ward 18 - Alta Vista,Marty Carr,5050011.04,371326.435100005,5029883.36039946
93,93,3/16/2019 5:00:00 AM,1200,2019,3/16/2019 5:00:00 AM,1200,2019,Afternoon,Saturday,6,Orléans Village - Chateauneuf,31,East,Ward 2 - Orléans West-Innes,Laura Dudas,5050125.09,380775.747900008,5035166.57009946
94,94,3/29/2019 5:00:00 AM,0,2019,3/29/2019 5:00:00 AM,0,2019,Night,Friday,5,Orléans Village - Chateauneuf,31,East,Ward 2 - Orléans West-Innes,Laura Dudas,5050125.08,381556.751000009,5035446.56899946
95,95,4/1/2019 5:00:00 AM,2200,2019,4/1/2019 5:00:00 AM,2200,2019,Evening,Monday,1,Civic Hospital-Central Park,21,Central,Ward 16 - River,Riley Brockington,5050020.01,366324.008300002,5025654.05229946
96,96,4/13/2019 5:00:00 AM,2200,2019,4/13/2019 5:00:00 AM,2200,2019,Evening,Saturday,6,Ledbury - Heron Gate - Ridgemont - Elmwood,34,East,Ward 10 - Gloucester-Southgate,Jessica Bradley,5050001.09,371501.727900005,5026253.53009946
97,97,4/18/2019 5:00:00 AM,200,2019,4/18/2019 5:00:00 AM,200,2019,Night,Thursday,4,Byward Market,24,Central,Ward 12 - Rideau-Vanier,Stéphanie Plante,5050054.00,367866.786200002,5032275.26129946
98,98,4/25/2019 5:00:00 AM,100,2019,4/25/2019 5:00:00 AM,100,2019,Night,Thursday,4,Ledbury - Heron Gate - Ridgemont - Elmwood,34,East,Ward 18 - Alta Vista,Marty Carr,5050005.00,370428.055200004,5026497.03499946
99,99,4/29/2019 5:00:00 AM,1400,2019,4/26/2019 5:00:00 AM,1700,2019,Afternoon,Friday,5,Hintonburg - Mechanicsville,21,Central,Ward 15 - Kitchissippi,Jeff Leiper,5050043.00,366197.244600001,5029566.34079946
100,100,5/3/2019 5:00:00 AM,100,2019,5/3/2019 5:00:00 AM,100,2019,Night,Friday,5,Civic Hospital-Central Park,21,Central,Ward 15 - Kitchissippi,Jeff Leiper,5050034.00,365657.700000002,5028517.55209946
101,101,5/15/2019 5:00:00 AM,2200,2019,5/15/2019 5:00:00 AM,2100,2019,Evening,Wednesday,3,Overbrook - McArthur,25,Central,Ward 13 - Rideau-Rockcliffe,Rawlson King,5050012.00,371200.957000004,5032202.81999946
102,102,5/23/2019 5:00:00 AM,500,2019,5/23/2019 5:00:00 AM,500,2019,Night,Thursday,4,Centretown,23,Central,Ward 14 - Somerset,Ariel Troster,5050040.00,367617.249600002,5030672.87149946
103,103,5/24/2019 5:00:00 AM,0,2019,5/23/2019 5:00:00 AM,2300,2019,Evening,Thursday,4,Hunt Club Park,33,East,Ward 10 - Gloucester-Southgate,Jessica Bradley,5050001.08,375271.744900006,5026437.52709946
104,104,5/27/2019 5:00:00 AM,2200,2019,5/27/2019 5:00:00 AM,2200,2019,Evening,Monday,1,Ledbury - Heron Gate - Ridgemont - Elmwood,34,East,Ward 10 - Gloucester-Southgate,Jessica Bradley,5050001.09,371501.727900005,5026253.53009946
105,105,5/30/2019 5:00:00 AM,2300,2019,5/30/2019 5:00:00 AM,2300,2019,Evening,Thursday,4,Lowertown,24,Central,Ward 12 - Rideau-Vanier,Stéphanie Plante,5050056.00,368601.704900002,5032846.58899946
106,106,5/30/2019 5:00:00 AM,300,2019,5/30/2019 5:00:00 AM,200,2019,Night,Thursday,4,Centretown,23,Central,Ward 14 - Somerset,Ariel Troster,5050040.00,367322.709600003,5030793.18769946
107,107,6/2/2019 5:00:00 AM,700,2019,6/2/2019 5:00:00 AM,700,2019,Morning,Sunday,7,Centretown,23,Central,Ward 14 - Somerset,Ariel Troster,5050039.00,367354.706000003,5029855.56299946
108,108,6/7/2019 5:00:00 AM,2100,2019,6/7/2019 5:00:00 AM,2100,2019,Evening,Friday,5,Byward Market,24,Central,Ward 12 - Rideau-Vanier,Stéphanie Plante,5050054.00,367930.704100003,5032342.58489946
109,109,6/10/2019 5:00:00 AM,1800,2019,6/10/2019 5:00:00 AM,1800,2019,Evening,Monday,1,Emerald Woods - Sawmill Creek,35,East,Ward 10 - Gloucester-Southgate,Jessica Bradley,5050123.01,371453.729900004,5023632.51099946
110,110,6/15/2019 5:00:00 AM,1800,2019,6/15/2019 5:00:00 AM,1800,2019,Evening,Saturday,6,Greenboro East,35,East,Ward 10 - Gloucester-Southgate,Jessica Bradley,5050001.05,372370.732900005,5025399.52299946
111,111,6/19/2019 5:00:00 AM,2000,2019,6/19/2019 5:00:00 AM,2000,2019,Evening,Wednesday,3,Ledbury - Heron Gate - Ridgemont - Elmwood,34,East,Ward 18 - Alta Vista,Marty Carr,5050007.02,371146.070100004,5026979.40929946
112,112,6/22/2019 5:00:00 AM,1600,2019,6/22/2019 5:00:00 AM,1600,2019,Afternoon,Saturday,6,Britannia Village,14,West,Ward 7 - Bay,Theresa Kavanagh,5050029.00,359555.489000001,5024438.92409946
113,113,6/22/2019 5:00:00 AM,0,2019,6/22/2019 5:00:00 AM,0,2019,Night,Saturday,6,Centretown,23,Central,Ward 14 - Somerset,Ariel Troster,5050038.00,367524.7793,5031199.22719946
